# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1279.82
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:phi_prime             11:H_T_Nb_prime          12:k2gamma_Nb            13:t_g                   14:t_b                   15:t_cdm                 16:t_ur                  17:shear_g               18:pol0_g                19:pol2_g                20:t_tot              
       6.667478132654e-02       1.588176352930e+00       1.196009020112e+00      -1.279230109825e+01      -7.882883287963e-01      -1.059497575248e+01      -7.531515977113e+00       1.491559030739e-01       1.490322486007e-01      -1.090800759745e-04      -1.202475318873e-03       6.608340102508e-06       3.482379651727e-03       2.643979467047e-03       5.331804275556e-02      -4.104409089776e-03       1.796283904639e-04                     -nan                     -nan       3.033994251016e-02 
       6.979876663409e-02       1.528161668483e+00       1.158148242545e+00      -1.336770488302e+01      -6.928748928142e-01      -1.108594068336e+01      -7.887368796699e+00       1.425662933391e-01       1.424466122023e-01      -4.682476766838e-05      -1.222201121716e-03       6.727965421804e-06       1.469878912308e-02       1.376615799029e-02       5.519792337524e-02      -5.414761718270e-03       1.037377147477e-02                     -nan                     -nan       3.459446887441e-02 
       7.288041805056e-02       1.288537479987e+00       9.843408131418e-01      -1.391928522837e+01      -5.885091132260e-01      -1.157817933581e+01      -8.272160367473e+00       1.372224957779e-01       1.371705101026e-01       3.395798017737e-06      -1.121173903016e-03       6.052953929376e-06       2.574894034125e-02       2.483950064534e-02       5.703071622258e-02      -5.807884947125e-03       2.067187458458e-02                     -nan                     -nan       3.890972573094e-02 
       7.594752228905e-02       8.910041821732e-01       6.902251986127e-01      -1.445379876239e+01      -4.904158796256e-01      -1.207493044985e+01      -8.686438380055e+00       1.328226725821e-01       1.328320527703e-01       4.077191467994e-05      -8.895911310488e-04       4.677292101084e-06       3.580363061353e-02       3.505244493799e-02       5.885431493572e-02      -5.040697302735e-03       3.034050640321e-02                     -nan                     -nan       4.309158436193e-02 
       7.902080630728e-02       3.640958762558e-01       2.966010024786e-01      -1.497639996489e+01      -4.133058993256e-01      -1.257727156069e+01      -9.128019026969e+00       1.291159031941e-01       1.291396887514e-01       6.416019535239e-05      -5.264099795911e-04       2.714600765699e-06       4.401256311460e-02       4.356506093346e-02       6.069681734354e-02      -3.167680767376e-03       3.861124890004e-02                     -nan                     -nan       4.689269931499e-02 
       8.211648700454e-02      -2.562114280305e-01      -1.700688199952e-01      -1.549122778251e+01      -3.681281478552e-01      -1.308453457724e+01      -9.591828326909e+00       1.258794064792e-01       1.258578437566e-01       7.247425968107e-05      -4.432491408265e-05       3.020743930602e-07       4.954380826845e-02       4.954565550588e-02       6.257894800129e-02      -5.377979379804e-04       4.471164954206e-02                     -nan                     -nan       5.002590259351e-02 
       8.524778170800e-02      -9.266089944705e-01      -6.776914426049e-01      -1.600173081803e+01      -3.594616238325e-01      -1.359458514894e+01      -1.006983161959e+01       1.229082911202e-01       1.227926719305e-01       6.511287171029e-05       5.269161506751e-04      -2.397351795322e-06       5.164436685812e-02       5.222854124812e-02       6.451521250491e-02       2.266151942552e-03       4.791512256334e-02       9.797332544790e-02       1.972219517643e-02       5.219111354943e-02 
       8.842585028584e-02      -1.597392260895e+00      -1.189169787645e+00      -1.651084575417e+01      -3.840655583391e-01      -1.410407133638e+01      -1.055120365168e+01       1.200137000058e-01       1.197835204957e-01       4.235817931007e-05       1.139780466406e-03      -5.195144169055e-06       4.971346623693e-02       5.098409362806e-02       6.651443757787e-02       4.548814781154e-03       4.760349011727e-02                     -nan                     -nan       5.311397288079e-02 
       9.166040793060e-02      -2.214478861675e+00      -1.663851849143e+00      -1.702108485487e+01      -4.310634974009e-01      -1.460872503164e+01      -1.102289387724e+01       1.170272594365e-01       1.166983835674e-01       5.717038190502e-06       1.731700892689e-03      -7.880735305728e-06       4.339017994850e-02       4.540716163464e-02       6.858000192861e-02       5.672209964447e-03       4.334500747643e-02                     -nan                     -nan       5.259568775543e-02 
       9.496013774807e-02      -2.722444967707e+00      -2.059738252969e+00      -1.753456504799e+01      -4.840211794869e-01      -1.510373324268e+01      -1.147061830591e+01       1.138090795733e-01       1.134317577763e-01      -4.188737644855e-05       2.231564204027e-03      -1.022898080439e-05       3.264732506486e-02       3.540514006309e-02       7.070988344591e-02       5.242941338796e-03       3.497913184906e-02                     -nan                     -nan       5.056634054399e-02 
       9.833297660538e-02      -3.068628311379e+00      -2.336499764022e+00      -1.805300256476e+01      -5.247809430182e-01      -1.558420757389e+01      -1.188029106171e+01       1.102574627265e-01       1.099047503157e-01      -9.613537451627e-05       2.569617853770e-03      -1.201259256755e-05       1.787694397473e-02       2.129082039985e-02       7.289670795596e-02       3.268504576368e-03       2.270067837741e-02                     -nan                     -nan       4.713283254738e-02 
       1.017863178803e-01      -3.208355220314e+00      -2.459388715488e+00      -1.857769212299e+01      -5.383560195633e-01      -1.604578109810e+01      -1.223984849569e+01       1.063185633314e-01       1.060677400171e-01      -1.515845949072e-04       2.689609465444e-03      -1.302090703995e-05      -3.767308487538e-05       3.856014427992e-03       7.512801060979e-02       2.244033560561e-04       7.135234825236e-03                     -nan                     -nan       4.261012549181e-02 
       1.053271580309e-01      -3.110672957163e+00      -2.403546334511e+00      -1.910948038605e+01      -5.176405013802e-01      -1.648526259236e+01      -1.254117628881e+01       1.019924547926e-01       1.019040179569e-01      -2.022225552548e-04       2.560603703015e-03      -1.308375781906e-05      -1.969329099195e-02      -1.559083824681e-02       7.738673176524e-02      -3.017676445840e-03      -1.061738926563e-02                     -nan                     -nan       3.752135252296e-02 
       1.089622041442e-01      -2.764356857139e+00      -2.158597654505e+00      -1.964875573371e+01      -4.663503549426e-01      -1.690134969797e+01      -1.278192666479e+01       9.733454656127e-02       9.743445026064e-02      -2.422174943306e-04       2.185787534512e-03      -1.210011501476e-05      -3.919222972320e-02      -3.523739316405e-02       7.965226155540e-02      -5.419270015734e-03      -2.898193544689e-02      -3.974324067984e-02      -7.990669778369e-03       3.256078108057e-02 
       1.126979537298e-01      -2.183240924317e+00      -1.732807589746e+00      -2.019545981019e+01      -3.987366067550e-01      -1.729529150316e+01      -1.296682960269e+01       9.245042211974e-02       9.272105274711e-02      -2.667669106516e-04       1.605296113521e-03      -1.006774389613e-05      -5.624961125873e-02      -5.285873651183e-02       8.190210653593e-02      -6.126286158466e-03      -4.597500395445e-02      -7.695522460111e-02      -1.552815083467e-02       2.851614312075e-02 
       1.165407543613e-01      -1.410036244678e+00      -1.156207514722e+00      -2.074913600781e+01      -3.353277304241e-01      -1.767142054314e+01      -1.310822179391e+01       8.748412108973e-02       8.786759189440e-02      -2.728695594092e-04       8.914333005383e-04      -7.109345294642e-06      -6.839843180148e-02      -6.600592808902e-02       8.411435001105e-02      -4.836813930008e-03      -5.935703347759e-02      -1.091977891388e-01      -2.207871575641e-02       2.615963012848e-02 
       1.204968484400e-01      -5.170750789968e-01      -4.814761350694e-01      -2.130900808943e+01      -2.954257797886e-01      -1.803735744213e+01      -1.322547852767e+01       8.260041228046e-02       8.301416567510e-02      -2.598282366537e-04       1.364548613109e-04      -3.486472925306e-06      -7.329599894572e-02      -7.228941118438e-02       8.627056965839e-02      -2.031460025569e-03      -6.687808536461e-02      -1.317901577611e-01      -2.669336969617e-02       2.612792464552e-02 
       1.245724068423e-01       3.969632790333e-01       2.181152051304e-01      -2.187410806655e+01      -2.887563234445e-01      -1.840379594674e+01      -1.334339654075e+01       7.796433372167e-02       7.832477773507e-02      -2.293832480033e-04      -5.638178977143e-04       4.054590688207e-07      -6.912867273778e-02      -6.976968818170e-02       8.835938025696e-02       1.091920651649e-03      -6.662013909931e-02      -1.403471424425e-01      -2.847832098674e-02       2.881225625145e-02 
